category	rank	environment	method	n	tool	database
Correct	Genus	Terrestrial	naive.90	26	Naive Bayes	Database 5
Correct	Genus	Terrestrial	naive.90	33	Naive Bayes	NA
Correct	Genus	Terrestrial	naive.90	37	Naive Bayes	NA
Misassignment	Genus	Marine	blast.1.90	56	Blast	Database 2
Misassignment	Genus	Marine	blast.1.90	56	Blast	Database 5
Misassignment	Genus	Marine	blast.1.90	59	Blast	Database 1
Misassignment	Genus	Marine	blast.1.90	69	Blast	NA
Misassignment	Genus	Marine	blast.1.95	34	Blast	Database 2
Misassignment	Genus	Marine	blast.1.95	34	Blast	Database 5
Misassignment	Genus	Marine	blast.1.95	36	Blast	Database 1
Misassignment	Genus	Marine	blast.1.95	49	Blast	NA
Misassignment	Genus	Marine	blast.1.99	5	Blast	Database 2
Misassignment	Genus	Marine	blast.1.99	5	Blast	Database 5
Misassignment	Genus	Marine	blast.1.99	6	Blast	Database 1
Misassignment	Genus	Marine	blast.1.99	8	Blast	NA
Misassignment	Genus	Marine	blast.10.95	15	Blast	Database 1
Misassignment	Genus	Marine	blast.10.95	22	Blast	Database 2
Misassignment	Genus	Marine	blast.10.95	26	Blast	NA
Misassignment	Genus	Marine	blast.10.95	28	Blast	Database 5
Misassignment	Genus	Marine	blast.3.90	12	Blast	Database 2
Misassignment	Genus	Marine	blast.3.90	12	Blast	Database 1
Misassignment	Genus	Marine	blast.3.90	31	Blast	Database 5
Misassignment	Genus	Marine	blast.3.90	53	Blast	NA
Misassignment	Genus	Marine	naive.70	24	Naive Bayes	Database 1
Misassignment	Genus	Marine	naive.70	31	Naive Bayes	Database 2
Misassignment	Genus	Marine	naive.70	31	Naive Bayes	Database 5
Misassignment	Genus	Marine	naive.70	53	Naive Bayes	NA
Misassignment	Genus	Marine	naive.70	57	Naive Bayes	NA
Misassignment	Genus	Marine	naive.80	16	Naive Bayes	Database 1
Misassignment	Genus	Marine	naive.80	26	Naive Bayes	Database 5
Misassignment	Genus	Marine	naive.80	26	Naive Bayes	Database 2
Misassignment	Genus	Marine	naive.80	47	Naive Bayes	NA
Misassignment	Genus	Marine	naive.80	49	Naive Bayes	NA
Misassignment	Genus	Marine	naive.90	9	Naive Bayes	Database 1
Misassignment	Genus	Marine	naive.90	18	Naive Bayes	Database 5
Misassignment	Genus	Marine	naive.90	18	Naive Bayes	Database 2
Misassignment	Genus	Marine	naive.90	36	Naive Bayes	NA
Misassignment	Genus	Marine	naive.90	43	Naive Bayes	NA
Misassignment	Genus	Terrestrial	blast.1.90	24	Blast	Database 2
Misassignment	Genus	Terrestrial	blast.1.90	26	Blast	Database 1
Misassignment	Genus	Terrestrial	blast.1.90	26	Blast	Database 5
Misassignment	Genus	Terrestrial	blast.1.95	21	Blast	Database 2
Misassignment	Genus	Terrestrial	blast.1.95	22	Blast	Database 1
Misassignment	Genus	Terrestrial	blast.1.95	23	Blast	Database 5
Misassignment	Genus	Terrestrial	blast.1.99	3	Blast	Database 2
Misassignment	Genus	Terrestrial	blast.1.99	4	Blast	Database 5
Misassignment	Genus	Terrestrial	blast.1.99	5	Blast	Database 1
Misassignment	Genus	Terrestrial	blast.10.95	1	Blast	Database 2
Misassignment	Genus	Terrestrial	blast.10.95	5	Blast	Database 5
Misassignment	Genus	Terrestrial	blast.10.95	5	Blast	Database 1
Misassignment	Genus	Terrestrial	blast.3.90	0	Blast	Database 2
Misassignment	Genus	Terrestrial	blast.3.90	12	Blast	Database 1
Misassignment	Genus	Terrestrial	blast.3.90	26	Blast	Database 5
Misassignment	Genus	Terrestrial	naive.70	1	Naive Bayes	Database 1
Misassignment	Genus	Terrestrial	naive.70	3	Naive Bayes	Database 2
Misassignment	Genus	Terrestrial	naive.70	8	Naive Bayes	Database 5
Misassignment	Genus	Terrestrial	naive.70	11	Naive Bayes	NA
Misassignment	Genus	Terrestrial	naive.70	12	Naive Bayes	NA
Misassignment	Genus	Terrestrial	naive.80	1	Naive Bayes	Database 1
Misassignment	Genus	Terrestrial	naive.80	2	Naive Bayes	Database 2
Misassignment	Genus	Terrestrial	naive.80	4	Naive Bayes	Database 5
Misassignment	Genus	Terrestrial	naive.80	7	Naive Bayes	NA
Misassignment	Genus	Terrestrial	naive.80	8	Naive Bayes	NA
Misassignment	Genus	Terrestrial	naive.90	1	Naive Bayes	Database 1
Misassignment	Genus	Terrestrial	naive.90	1	Naive Bayes	Database 5
Misassignment	Genus	Terrestrial	naive.90	2	Naive Bayes	Database 2
Misassignment	Genus	Terrestrial	naive.90	4	Naive Bayes	NA
Misassignment	Genus	Terrestrial	naive.90	5	Naive Bayes	NA
